"","HUM.clr","ROC.clr","POC.clr","D17"
"PWY-5189",-0.437062434339474,0.62716252969883,-0.17852424087703,0.227818938414019
"PWY-5304",0.487208342338377,-0.179016306751735,-0.0561335554277776,0.560038556339937
"PWY-5347",-0.277725326010842,0.472142225785881,-0.149555838112505,0.259985269210881
"PWY-5415",0.0052234206287175,-0.349281289990791,0.169799322850836,-0.537640557724686
"PWY-5419",-0.342486509780588,-0.0492823646677219,0.125367483050738,-0.667762419073293
"PWY-5420",-0.162970841404617,-0.215398974473387,0.153817273547576,-0.618163782947354
"PWY-5484",0.207409520582918,0.151409812373404,-0.135556820712503,0.594652817130958
"PWY-5509",-0.3209701806899,-0.0751715710436692,0.131710383268296,-0.671174953382796
"PWY-5654",-0.364518885166995,-0.0315187895499699,0.123163146115755,-0.677956984066634
"PWY-5659",-0.209927316499342,0.477501111359019,-0.172216394274776,0.385292769308402
"PWY-5667",-0.321551636841287,0.560653308891224,-0.180026640698103,0.322930735046875
"PWY-5686",-0.255657703540195,0.523290067436878,-0.181166944842901,0.378091592342911
"PWY-5695",-0.0162323168009501,0.320685054005448,-0.152518510809735,0.473900237993094
"PWY-5837",0.362136446201938,-0.560775933682528,0.168095539567,-0.253132460045822
"PWY-5840",0.501058899918506,-0.621759866057243,0.156965419574366,-0.108998843268436
"PWY-5863",0.373042274350127,-0.566431959579388,0.167647892669984,-0.243176964571223
"PWY-5897",0.49901214461003,-0.62013226557863,0.156771725294709,-0.109981254355712
"PWY-5898",0.49901214461003,-0.62013226557863,0.156771725294709,-0.109981254355712
"PWY-5899",0.49901214461003,-0.62013226557863,0.156771725294709,-0.109981254355712
"PWY-5913",0.132010192434404,0.224311457016974,-0.149041675781378,0.578719487519904
"PWY-5918",0.101988509144189,0.246416841140181,-0.151015386489951,0.561542250189989
"PWY-5973",-0.649426139717317,0.715006760927962,-0.158871573548526,-0.000929007094269838
"PWY-6121",-0.326784142224803,0.565258026024384,-0.18073951557588,0.321113752058349
"PWY-6122",-0.325888714006452,0.56836334607864,-0.18252741911164,0.327517988682224
"PWY-6123",-0.335141362589223,0.573579192960141,-0.182352290187806,0.319724560517372
"PWY-6125",-0.292665870691812,0.544869572379165,-0.180818443233955,0.348042837075034
"PWY-6126",-0.335842104265152,0.571719677022352,-0.181233047926878,0.315605835637807
"PWY-6147",-0.688079342849174,0.655957750282238,-0.118484083730087,-0.160003711164625
"PWY-6151",-0.431384584480049,0.215342050208094,0.0218198995896851,-0.40691594871033
"PWY-6163",-0.286911149976135,0.543312348287428,-0.181754834298935,0.355529932409364
"PWY-621",-0.454290428074968,0.0622097531122201,0.10370793345023,-0.686080308126893
"PWY-6269",-0.325897629143909,-0.0709208341337946,0.13108102350135,-0.673019855722524
"PWY-6277",-0.325888714006452,0.56836334607864,-0.18252741911164,0.327517988682224
"PWY-6317",0.144741640827334,-0.345502891174796,0.126723513276109,-0.291122140046466
"PWY-6353",0.206749779607157,0.169501707929255,-0.144237012102331,0.621830092143736
"PWY-6383",0.833742688732803,-0.688865124093137,0.091589115086362,0.35970396743241
"PWY-6385",-0.243384277600426,0.519693305992577,-0.183028852606244,0.393628453568275
"PWY-6386",-0.267211158052881,0.533463865076463,-0.182744177114163,0.374089853010385
"PWY-6387",-0.291158450366412,0.546156197149625,-0.181894991916672,0.352656099854869
"PWY-6545",0.478102689334614,-0.0655340352886233,-0.109112791618194,0.721942818837202
"PWY-6608",0.182988028298974,0.18293010500027,-0.143803729549289,0.601868303083559
"PWY-6609",0.00384275804831077,-0.21572273070934,0.104689069501846,-0.330993495812522
"PWY-6612",-0.776098275255632,0.513585821140444,-0.0226362095979735,-0.53461760417715
"PWY-6700",-0.612012792406827,0.702696376215854,-0.163886829122084,0.0443252908829138
"PWY-6703",-0.686301704225245,0.721941565988939,-0.151378179927334,-0.0536690177126419
"PWY-6737",0.0831636187319112,0.273428354628076,-0.158704060132977,0.571352768034814
"PWY-6891",0.00655375003712871,-0.296752490274499,0.1436378517422,-0.453135266929186
"PWY-6895",0.371524932611307,-0.232069992484226,0.0040723550089836,0.277505142779105
"PWY-6897",-0.318253753596884,0.545439188604537,-0.173537634195309,0.304806956691352
"PWY-6915",0.0615811129871333,-0.384891216347795,0.170616510101485,-0.496181289075589
"PWY-6919",0.157781115876649,-0.44400205567455,0.171190376595929,-0.422792799059577
"PWY-6969",-0.2433725518707,0.509456485538342,-0.178010565509175,0.377627366867255
"PWY-7007",0.654611509241774,-0.648499493689236,0.124713840272866,0.113959710789098
"PWY-7094",0.0429795560083368,0.153081768398322,-0.0877942592697076,0.313703230219278
"PWY-7111",-0.037481701356346,0.360203654837767,-0.165626287973501,0.499104042523809
"PWY-7184",-0.0466140974307068,0.353671001327488,-0.159723371148552,0.473130806461182
"PWY-7196",-0.416182596765557,0.306722247258947,-0.0274989689185172,-0.237683372932443
"PWY-7197",-0.304972222746951,0.555281582125855,-0.182290079932803,0.343115512498962
"PWY-7199",-0.673302734596946,0.307566746922561,0.0480559013169903,-0.679776041591254
"PWY-7200",-0.822388396579454,0.639850020666819,-0.0708991344292462,-0.416834931461661
"PWY-7208",-0.431033387081079,0.621681362419526,-0.17761676418327,0.229637887922785
"PWY-7211",-0.0534312729121468,0.360575148448937,-0.161096039947472,0.472179755627203
"PWY-7219",-0.291406126117753,0.542476922214575,-0.180016916394062,0.346470661539819
"PWY-7220",-0.403332722758758,0.609211075663096,-0.179683853004721,0.257892002909833
"PWY-7221",-0.225717805632495,0.501550283658521,-0.179348417770651,0.3956999763559
"PWY-7222",-0.403332722758758,0.609211075663096,-0.179683853004721,0.257892002909833
"PWY-7228",-0.283856858387846,0.538646424093539,-0.180368355131088,0.353494702011096
"PWY-7229",-0.336516705148914,0.571496071035607,-0.180924037571583,0.314092500053822
"PWY-7234",-0.615356562550178,0.701745007627257,-0.162432171967886,0.0370698648306591
"PWY-7237",0.236738980904568,-0.491055335577447,0.170943704777751,-0.360268206212403
"PWY-7254",-0.289446115164944,-0.0839437451424553,0.126699488109356,-0.630539430589578
"PWY-7255",0.66471689237069,-0.327701747765527,-0.0356417333153048,0.633456777645882
"PWY-7371",-0.083626693450491,0.398991564630011,-0.171019921131162,0.480230756541299
"PWY-7374",0.204812406122107,0.171153944063311,-0.144475109730218,0.621074871005686
"PWY-7392",0.417003132394273,-0.581468068318893,0.162035223664738,-0.190897152413001
"PWY-7400",-0.26980760223042,0.532016797157431,-0.181267156992305,0.36734741907194
"PWY-7527",0.0120190568000985,-0.275912862469301,0.131800022152597,-0.411094707830798
"PWY-7539",-0.712158107943695,0.669592055942025,-0.11805814580721,-0.180189942974973
"PWY-7560",-0.401382954773985,0.609838242579059,-0.180567596306149,0.262236016999715
"PWY-7616",0.817906475130825,-0.682660763628441,0.0932245121467711,0.342103997517046
"PWY-7663",-0.681953427267844,0.723635070470547,-0.153493690858627,-0.0435197856239766
"PWY-841",-0.331835736059457,0.569090014054351,-0.181126774632964,0.318399385863559
"PWY0-1061",-0.495855650715415,0.335558707865844,-0.0181045843138717,-0.3299518785645
"PWY0-1261",-0.0298865750996407,0.357668309473852,-0.166626623368955,0.50823416856009
"PWY0-1296",0.122413872653562,-0.408772626690188,0.164357972061098,-0.428648669347699
